               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12262,              0.2494,                   0,          0.00073171,          0.00079135,          0.00036716,           6.139e-05,             0.13251,            0.085022,                   0,             0.08812,             0.00012,             0.00012
                   1,             0.10382,             0.24907,                   0,            0.012736,            0.013189,              0.0104,           0.0017555,             0.12406,             0.15111,                   0,            0.075245,          0.00024505,          0.00024505
                   2,            0.093002,             0.25198,                   0,            0.016297,            0.018729,           0.0076552,           0.0018835,             0.12465,             0.22915,                   0,            0.062365,          0.00036495,          0.00036495
                   3,            0.090296,             0.28239,                   0,            0.032965,            0.024268,            0.019371,           0.0049032,             0.10626,             0.31722,                   0,             0.04948,          0.00047971,          0.00047971
                   4,            0.084807,             0.26233,                   0,            0.050569,            0.030247,             0.01908,           0.0064439,            0.096155,             0.34538,                   0,            0.036589,          0.00058931,          0.00058931
                   5,            0.081864,             0.27255,                   0,             0.07379,              0.1209,            0.033846,            0.011748,            0.088867,               0.305,                   0,            0.023694,          0.00069377,          0.00069377
                   6,            0.081349,             0.29543,                   0,            0.086504,             0.23872,            0.048827,            0.016648,            0.083055,             0.38569,                   0,            0.010793,          0.00079308,          0.00079308
                   7,            0.074724,             0.27473,                   0,            0.082814,             0.32225,             0.05283,            0.020457,            0.077375,             0.32249,                   0,           0.0008614,           0.0008614,           0.0008614
                   8,             0.07723,             0.30927,                   0,             0.11983,              0.3722,            0.083957,             0.03097,            0.073703,             0.30733,                   0,           0.0008614,           0.0008614,           0.0008614
                   9,            0.074518,             0.30498,                   0,             0.13414,              0.4064,            0.099399,            0.041532,            0.070837,             0.28612,                   0,           0.0008416,           0.0008416,           0.0008416
                  10,            0.073613,             0.27305,                   0,             0.10876,             0.28198,            0.075354,            0.029479,            0.074299,             0.25307,                   0,           0.0008218,           0.0008218,           0.0008218
                  11,            0.073738,             0.28682,                   0,             0.12918,             0.40324,            0.098149,            0.037643,            0.071007,             0.28994,                   0,            0.000802,            0.000802,            0.000802
                  12,            0.072655,             0.28934,                   0,             0.14412,             0.45907,             0.11684,            0.048015,            0.066928,             0.30392,                   0,           0.0007822,           0.0007822,           0.0007822
                  13,            0.073409,             0.29998,                   0,              0.1647,             0.55342,             0.13124,            0.055508,            0.068076,             0.28608,                   0,           0.0007624,           0.0007624,           0.0007624
