               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12262,              0.2494,                   0,           0.0014815,          0.00040988,          0.00074515,          7.4515e-05,             0.13057,             0.20987,                   0,             0.08812,             0.00012,             0.00012
                   1,             0.10436,             0.24896,                   0,            0.054115,            0.011272,            0.022983,           0.0049336,             0.12491,             0.19315,                   0,            0.075245,          0.00024505,          0.00024505
                   2,            0.092934,              0.2524,                   0,            0.065185,            0.018035,            0.037918,           0.0080556,             0.12095,             0.24334,                   0,            0.062365,          0.00036495,          0.00036495
                   3,             0.09019,             0.28231,                   0,            0.078674,            0.016805,            0.040904,            0.010853,             0.10486,             0.29876,                   0,             0.04948,          0.00047971,          0.00047971
                   4,            0.084977,             0.26248,                   0,               0.147,            0.027154,            0.064771,            0.021902,            0.095222,              0.3128,                   0,            0.036589,          0.00058931,          0.00058931
                   5,            0.081488,             0.27229,                   0,              0.2029,             0.13741,             0.12328,            0.040377,            0.084731,             0.26898,                   0,            0.023694,          0.00069377,          0.00069377
                   6,            0.080312,             0.29508,                   0,              0.3372,             0.30208,             0.22483,            0.069485,            0.082201,             0.30173,                   0,            0.010793,          0.00079308,          0.00079308
                   7,             0.07495,             0.27493,                   0,             0.35356,             0.37012,             0.25101,            0.093548,            0.076917,             0.27153,                   0,           0.0008614,           0.0008614,           0.0008614
                   8,            0.078026,             0.30852,                   0,             0.50193,             0.52557,             0.43183,             0.15469,            0.072095,             0.25715,                   0,           0.0008614,           0.0008614,           0.0008614
                   9,            0.073877,              0.3059,                   0,             0.53177,             0.59227,             0.52324,             0.21585,            0.067632,             0.23893,                   0,           0.0008416,           0.0008416,           0.0008416
                  10,            0.072488,              0.2736,                   0,             0.36629,             0.43816,             0.32021,             0.12479,            0.071922,             0.25015,                   0,           0.0008218,           0.0008218,           0.0008218
                  11,            0.072166,             0.28873,                   0,             0.53057,             0.59258,             0.49993,             0.19807,            0.068953,             0.24166,                   0,            0.000802,            0.000802,            0.000802
                  12,             0.07199,             0.28973,                   0,              0.5516,             0.56522,             0.51683,             0.18365,             0.06791,             0.24062,                   0,           0.0007822,           0.0007822,           0.0007822
                  13,            0.072626,             0.30202,                   0,              0.7007,             0.65775,             0.63283,             0.25546,            0.066038,             0.24185,                   0,           0.0007624,           0.0007624,           0.0007624
                  14,            0.070495,             0.28493,                   0,             0.62936,             0.60549,             0.56456,             0.22976,              0.0645,             0.23582,                   0,           0.0007426,           0.0007426,           0.0007426
                  15,            0.070821,             0.29274,                   0,             0.77656,             0.67261,              0.7134,             0.31702,            0.063433,             0.22934,                   0,           0.0007228,           0.0007228,           0.0007228
                  16,            0.069815,             0.29152,                   0,             0.64314,             0.62968,             0.61822,             0.27131,            0.063318,             0.23343,                   0,            0.000703,            0.000703,            0.000703
                  17,            0.068647,             0.29207,                   0,             0.81404,             0.68539,              0.7217,             0.30787,            0.061783,             0.23708,                   0,           0.0006832,           0.0006832,           0.0006832
                  18,            0.067748,             0.30053,                   0,             0.72047,             0.64228,             0.65812,             0.27379,            0.060666,             0.22982,                   0,           0.0006634,           0.0006634,           0.0006634
                  19,            0.066352,             0.27087,                   0,             0.85572,             0.71104,             0.75744,             0.33567,            0.059757,             0.22718,                   0,           0.0006436,           0.0006436,           0.0006436
                  20,            0.067033,             0.29906,                   0,             0.83556,             0.70342,             0.74681,             0.32925,            0.061733,             0.22988,                   0,           0.0006238,           0.0006238,           0.0006238
                  21,            0.068637,             0.28842,                   0,                 0.8,             0.70048,             0.72983,             0.31678,            0.060743,             0.22964,                   0,            0.000604,            0.000604,            0.000604
                  22,            0.069006,              0.2891,                   0,             0.87344,             0.72978,             0.78202,             0.37138,            0.060598,             0.22463,                   0,           0.0005842,           0.0005842,           0.0005842
                  23,            0.067804,             0.30276,                   0,             0.86686,             0.72928,             0.76965,             0.35578,            0.060535,             0.22589,                   0,           0.0005644,           0.0005644,           0.0005644
                  24,            0.067908,             0.28356,                   0,             0.86642,             0.72445,             0.77969,             0.37193,              0.0588,             0.23036,                   0,           0.0005446,           0.0005446,           0.0005446
                  25,            0.066834,              0.2743,                   0,             0.89149,             0.73676,             0.79681,             0.38247,             0.05833,             0.22382,                   0,           0.0005248,           0.0005248,           0.0005248
